HOS01-081	977af4b8a96a49379f92f8b9ff816b4e	47PA0723Q0001	https://sam.gov/workspace/contract/opp/977af4b8a96a49379f92f8b9ff816b4e/view	Combined Synopsis/Solicitation	2023-08-16	2023-09-06	GENERAL SERVICES ADMINISTRATION	PUBLIC BUILDINGS SERVICE	PBS OFFICE OF FACILITIES MANAGEMENT	GSA: Unbundled Energy Attribute Certificates in Midcontinent Independent System Operator (MISO)	08/29/2023 Amendment 003 - Extending deadline for receipt of quotes to 12:00 pm EDT on September 6, 2023. All other terms and conditions remain unchanged. 08/25/2023: Amendment 002 - Publishes questions and answers received in resposne to this soliciation and makes necessary revisions. Any changes to the Solicitation made as a result of the submitted questions are highlighted in bold font in the revised Solicitation attached to this Amendment. Also amended Attachments 1 through 4. Amendment 001- This version of the solicitation is searchable in Adobe for your convenience. It also changes the form in Section G (page 39) from an SF1449 to GSA 300. This Request for Quote (RFQ) is issued as a c…	221122	S112	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 8 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 8 version(s): 0df67df80e3d422cb57cd551b77f260b; e3ce0d8459a5414b88a83bc72621bb4d; fba39d602f524b5db912c5d32902ac83; 205cb44032974cda891bbdb363d419f9; 5d976d8b085547f6b5ebb20cb0ba6e63; 3af9432f8ca54d2089254beb1d2bbbc0; 977af4b8a96a49379f92f8b9ff816b4e; …	68364
HOS01-082	3074b10e4729407ca46bc579420cf596	SPE60523R0206	https://sam.gov/workspace/contract/opp/3074b10e4729407ca46bc579420cf596/view	Combined Synopsis/Solicitation	2023-03-30	2023-05-15	DEPT OF DEFENSE	DEFENSE LOGISTICS AGENCY	DLA ENERGY	SOLICITATION COG 6 (3.26), CAMPS & STATION	Station (PC&S) Purchase Program 3.26, COG-6 requirements. The Government intends to procure petroleum fuel products for the requirements listed in this solicitation. The first closing date is 1 May 2023, and is for the 758 Contract Line Items (CLIN) contained in this first closing. Solicitation No. SPE60523R0206 has a performance period from Date of Award through May 31, 2028. This solicitation will be a Total Small Business Set-Aside with approximately 691 of the line items for small businesses and 67 for Service-disabled Veteran-owned Small Businesses (SDVOSBs). Below are the fuel and approximate quantity under this solicitation: QUANTITY FUEL TYPE NSN US GALLONS Fuel Ethanol (E85) (E8) 9…	324110	9140	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	Fort Belvoir, VA, 22060, USA	Fort Belvoir, VA, 22060, USA	Direct notice/resource lookup required	Yes — 8 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Fuel / petroleum	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 8 version(s): df55b9773f384d988346c82c28d6df6c; 87a0fd1898544746aa7232321506f021; 44bb8d9ada6a46878cfcbf6e80fb6c54; 3a2caec096d94a9ca3b76d45fcb36ed1; 762ed3e6ec594915af79672debc683e9; 50aff700a37845dd9fc38eb53ed7e7e2; 35dc5fe01458479e9174de57e82ba684; …	69028
HOS01-083	29cd6ae20f734342b995d6b0bf25933c	12569R23Q7001	https://sam.gov/workspace/contract/opp/29cd6ae20f734342b995d6b0bf25933c/view	Solicitation	2023-03-02	2024-03-04	AGRICULTURE, DEPARTMENT OF	FOREST SERVICE	USDA-FS PPS INCIDENT PROCUREMENT	VIPR I-BPA for Fuel Tender for the West Zone (Regions 5 & 6)	Re-open Solicitation. Vendor responses to the solicitation are due 03/04/2024 15:00 PT. Please access the 'Open Solicitations' tab in the VIPR Vendor application (https://apps.fs.usda.gov/vipr/vendor/) to start your response. The Department of Agriculture (USDA), US Forest Service (USFS), ESB West Zone (Regions 5 and 6) requirement for Fuel Tender for use during Local, Regional, and nationwide fire suppression and all-hazard incidents was originally solicited under solicitation number 12569R23Q7001. This amendment is to re-open this solicitation to conduct an open season Onboarding in accordance with Exhibit H - Special Contract Requirements of the original solicitation. IMPORTANT NOTE: Onb…	324110	F003	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 7 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 7 version(s): 349f698051d2461499d5bfbf1d7e8a07; 9907aee7faaa403992fb338b4fca0625; 059e5e624ea74058adaa390f88a475a7; 6596d796311246ef9b12c9eb01021e49; 536d677d9b754fb4bfb6eb3e51332fd3; f8e23685beb545ea885706e98a2d8e43; 29cd6ae20f734342b995d6b0bf25933c. …	67467
HOS01-084	c28ac0cb6d064991abed33532e537cde	N0010423QCC59	https://sam.gov/workspace/contract/opp/c28ac0cb6d064991abed33532e537cde/view	Solicitation	2023-05-11	2023-11-02	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVSUP WEAPON SYSTEMS SUPPORT MECH	VALVE,FLOW CONTROL	CONTACT INFORMATION|4|N771.2|HQG|Refer to email|jaclyn.i.phillips.civ@us.navy.mil| ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| INSPECTION AND ACCEPTANCE OF SUPPLIES|26|X||||||||||||X|||||||||||||| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|Combo Invoice and Receiving||TBD|N00104|TBD|TBD|See schedule|See schedule|||TBD|||||| NAVY USE OF ABILITYONE SUPPORT CONTRACTOR - RELEASE OF OFFEROR INFORMATION (3-18))|1|| EQUAL OPPORTUNITY (SEP 2016)|2||| BUY AMERICAN --FREE TRADE AGREEMENTS--BALANCE OF PAYMENTS PROGRAM - BASIC (JAN2023))|3|||| OPTION FOR INCREASED QUANTITY (MAR 1989)|1|365 Days from the date o…	332919	4820		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	MRO tools and commercial hardware		Archive review required	Direct notice/resource lookup required	Yes — 8 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Restricted NSN / approved-source risk	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 8 version(s): 559edbb027c04fb6bcaca305d0332543; 62275de9e6a74f928a1fdeff1ae5ad7a; 0f5a6df2d429416d8e17259c3004c971; a5add97b26844de2addd5ffcb9255e84; d0c341ba268943189df2252c1fca8872; 1a654bea48f646bcb64add18496d99e5; c28ac0cb6d064991abed33532e537cde; …	68076
HOS01-085	23d18d4fabff44c499ec431937e5028e	12569R23Q7003	https://sam.gov/workspace/contract/opp/23d18d4fabff44c499ec431937e5028e/view	Solicitation	2023-03-02	2024-02-18	AGRICULTURE, DEPARTMENT OF	FOREST SERVICE	USDA-FS PPS INCIDENT PROCUREMENT	VIPR I-BPA for VIPR I-BPA For Vehicle with Driver (Regions 5 & 6 - West Zone)	Re-open Solicitation. Vendor responses to the solicitation are due 02/18/2024 16:30 PST. Please access the 'Open Solicitations' tab in the VIPR Vendor application (https://apps.fs.usda.gov/vipr/vendor/) to start your response. The Department of Agriculture (USDA), US Forest Service (USFS), ESB West Zone (Regions 3, 5, 6 and 10) requirement for the West Zone Vehicle with Driver for use during Local, Regional, and nationwide fire suppression and all-hazard incidents was originally solicited under solicitation number 12569R23Q7003. This amendment is to re-open this solicitation to conduct an open season Onboarding in accordance with Exhibit H - Special Contract Requirements of the original sol…	485999	F003	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 7 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 7 version(s): 72aa7b0e7c0c48d7a8ca3ebc7aab374a; 4238d96b27ba4c699ed39723b1877c63; 341116f2af694aec998f8b66258a6912; 29d609255f6c4244a6bf0cf6323c4b27; 68125bd1b7594c0bb56957df5dbcc7a7; c2d8171af5fa42f7af731510cecb10d9; 23d18d4fabff44c499ec431937e5028e. …	67486
HOS01-086	e159fb843a1948f1b59a71d2524bfd0a	W912P623B0012	https://sam.gov/workspace/contract/opp/e159fb843a1948f1b59a71d2524bfd0a/view	Solicitation	2023-06-01	2023-07-11	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	STORMWATER IMPROVEMENTS, HAMMOND, LAKE COUNTY, INDIANA (USACE ACQUISITION)	EFFECTIVE JULY 11, 2023: The government has attached the Bid Opening Results (please refer to the"Attachments" Section of this Notice). **************************************************************************************************************************************************** VIRTUAL BID OPENING INFORMATION: THE VIRTUAL BID OPENING WILL BE CONDUCTED ON JULY 11, 2023 AT 2:00 P.M. (CENTRAL TIME). AT THE DESIGNATED DAY AND TIME, PLEASE JOIN BY: MEETING LINK: https://usace1.webex.com/usace1/j.php?MTID=mca2f2982c10a6029eae0685246c9972c Meeting number (access code): 2762 472 9013 Meeting password: X2vUAQg8Z@4 OR, JOIN BY PHONE: 1-844-800-2712 US Toll Free 1-669-234-1177 US Toll Access cod…	237110	Y1PZ		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	Hammond, IN, USA	Hammond, IN, USA	Direct notice/resource lookup required	Yes — 6 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 6 version(s): ebfdceb6e1d34f51b41ff7ed858d5a91; 378c8656d6f544cb8c37a6cefbfa58c9; b52de59fd7fe425da4438ac4d3453579; 4020fce3a71c42bd9043f4e60f326e0f; 902e9f5a05a24ea7b3bea4ede7aaad7c; e159fb843a1948f1b59a71d2524bfd0a. Outcome did not control selection.	68777
HOS01-087	f811ad49de774e3fac43be1b8d67d2e5	N0010423QFD34	https://sam.gov/workspace/contract/opp/f811ad49de774e3fac43be1b8d67d2e5/view	Solicitation	2023-05-03	2023-12-08	DEPT OF DEFENSE	DEPT OF THE NAVY	NAVSUP WEAPON SYSTEMS SUPPORT MECH	59--JUNCTION BOX	CONTACT INFORMATION|4|N743.35|WWJ|TBD|TBD| ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| HIGHER-LEVEL CONTRACT QUALITY REQUIREMENT (NAVICP REVIEW FEB 1991)(FEB 1999)|1|SEE SPECIFICATIONS SECTION C AND SECTION E| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| INSPECTION AND ACCEPTANCE - SHORT VERSION (JUN 2002)|8|X||X|||||| GENERAL INFORMATION-FOB-DESTINATION|1|A| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|INVOICE AND RECEIVING REPORT (COMBO)||TBD|N00104|TBD|TBD|N50286|TBD|||N/A|||||| NAVY USE OF ABILITYONE SUPPORT CONTRACTOR - RELEASE OF OFFEROR INFORMATION (3-18))|1|| EQUAL OPPORTUNITY (SEP 2016)|2||| WARRANTY OF SUPPLIES OF A NONCOMPLEX NATURE …	332710	5975		Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 6 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	Probable mandatory-source conflict	Exact product/NSN review required	Hazardous chemical	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	0	0	Strikeout	Gate 5 — mandatory source	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 6 version(s): ba1bb643175f40b6b28ddadab45e1a7e; 9666873237b24b42a01a1d9e46accf1d; 31f313c6dc664f51964c7ee8838167a8; 9949b492e2b346a2bfac0ff7fbac8ce9; f811ad49de774e3fac43be1b8d67d2e5; 91424662b9554ed5b975128655ceffa1. Outcome did not control selection.	67929
HOS01-088	34a457c3d6ba45deb42709a2edc8dec1	12024B23Q7000	https://sam.gov/workspace/contract/opp/34a457c3d6ba45deb42709a2edc8dec1/view	Solicitation	2023-03-13	2024-02-22	AGRICULTURE, DEPARTMENT OF	FOREST SERVICE	USDA FOREST SERVICE	VIPR I-BPA for Crew Carrier Bus for Region 13 - National	Re-open Solicitation. Vendor responses to the solicitation are due 02/22/2024 16:00 MST. Please access the 'Open Solicitations' tab in the VIPR Vendor application (https://apps.fs.usda.gov/vipr/vendor/) to start your response. The Department of Agriculture (USDA), US Forest Service (USFS), ESB National Zone requirement for Crew Carrier Bus for Region 13 - National for use during Local, Regional, and nationwide fire suppression and all-hazard incidents was originally solicited under solicitation number 12024B23Q7000. This amendment is to re-open this solicitation to conduct an open season Onboarding in accordance with Exhibit H - Special Contract Requirements of the original solicitation. IM…	115310	F003	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls		Archive review required	Direct notice/resource lookup required	Yes — 4 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 4 version(s): 0b3bf419e75247c9b14f9032c89caf30; 7b85122f968d47a1befefc82129468cd; 963c8f8c2e9148fda9d56fe0e0ab9a05; 34a457c3d6ba45deb42709a2edc8dec1. Outcome did not control selection.	67489
HOS01-089	2c3b2d68a1ec40a2a7c116d3c3da423e	1202SC21Q0004	https://sam.gov/workspace/contract/opp/2c3b2d68a1ec40a2a7c116d3c3da423e/view	Combined Synopsis/Solicitation	2022-03-11	2024-01-15	AGRICULTURE, DEPARTMENT OF	FOREST SERVICE	USDA-FS, INCIDENT PROCUREMENT LOGISTICS	Retardant On-Demand	January 5, 2024 - Amendment 004 (Update to CY 2024 Annual Amendment) - Issued Amendment 004 is issued to the Retardant On-Demand solicitation, updating the due date of the solicitation to 01/15/2024 @ 1430 MT. Please see the attached amended solicitation - Solicitation 1202SC21Q0004 A004 010524.pdf. Please email the Contracting Officer (Larry Robillard - larry.robillard@usda.gov) with any questions you may have. +++++++++++++++++++++++++++++++++++++++++++++++++ December 6, 2023 - Amendment 003 (CY 2024 Annual Amendment) - Issued Amendment 003 is issued to the Retardant On-Demand solicitation, updating the solicitation and relevant clauses and provisions for the calendar year 2024. All Offer…	325998	6850		Unknown pre-award; historical award retained only as answer key when mapped	Commercial product candidate	Mixed controls	Boise, ID, 83705, USA	Boise, ID, 83705, USA	Direct notice/resource lookup required	Yes — 5 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Pass / no automatic exclusion detected	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	60	Double	Passes Gates 1-6 preliminarily; Gate 7 archive review pending	REVIEW — archive reconstruction	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 5 version(s): 88ec1252edab44ee8c667077b1d28aad; 8d8dec7d154c4fc986660f1b0605e6b6; 2f84a04098ba49debaba7063a821940a; 519313cfedfa40c492b994836702bbb7; 2c3b2d68a1ec40a2a7c116d3c3da423e. Outcome did not control selection.	67583
HOS01-090	f67e4b22a902400aa695dbc5e8119f0a	W912P623Q0002	https://sam.gov/workspace/contract/opp/f67e4b22a902400aa695dbc5e8119f0a/view	Combined Synopsis/Solicitation	2023-03-06	2023-03-22	DEPT OF DEFENSE	DEPT OF THE ARMY	W072 ENDIST CHICAGO	COMMUNICATION SKILLS WORKSHOP GREAT LAKES LEADERSHIP DEVELOPMENT PROGRAM - TIER II	EFFECTIVE MARCH 20, 2023: The government has posted Amendment No. 0002 hereunder this Notice (please refer to the Attachments Section). **************************************************************************************************************************************************** EFFECTIVE MARCH 16, 2023: The government has posted Amendment No. 0001 hereunder this Notice (please refer to the Attachments Section). **************************************************************************************************************************************************** This is a combined Synopsis/Solicitation Notice for commercial items issued pursuant to FAR Subpart 12. Under this notice, the U.…	611430	U099	Total Small Business Set-Aside (FAR 19.5)	Unknown pre-award; historical award retained only as answer key when mapped	Excluded/control category	Mixed controls	Chicago, IL, USA	Chicago, IL, USA	Direct notice/resource lookup required	Yes — 3 notice version(s)	Unknown — archive retrieval required	Not yet recovered					No parent vehicle indicated at solicitation intake; verify clauses	Potentially yes — original solicitation open to new offers	No evidence in metadata; verify solicitation	Potentially yes — subject to historical SAM registration and representations	No conflict detected in metadata; exact product review required	Exact product/NSN review required	Service PSC / field-performance exposure	Promising metadata; archive requirements review required	Unknown — never infer from award amount	Not modeled before archive and supplier-pricing gates	Unclassified pending requirements and sourcing	Not modeled before supplier pricing	90	0	Strikeout	Gate 6 — product/service exclusion	NO-BID / CONTROL	Moderate — official extract metadata; direct archive review pending	Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 3 version(s): 214c3afa14b24060acf0bd04ff24580e; 9089cddeac864ff59b003f859d56bf99; f67e4b22a902400aa695dbc5e8119f0a. Outcome did not control selection.	69522
