Stage / Metric	Count	Interpretation
Official SAM full extract rows	78811	Source population at retrieval
Posted during 2023-2024	5739	Primary historical period
Actual Solicitation or Combined notice	1505	Notice-type gate
Response deadline no later than 2024-12-31	1024	Closed historical solicitation universe
Distinct solicitation families	304	Amendments and notice versions collapsed
Balanced intake selected	100	Selection independent of award outcome
Pass Gates 1-6 preliminarily	22	Advance to archive/attachment review
Killed at Gate 4 — GGG eligibility	8	Set-aside or eligibility mismatch
Killed at Gate 5 — mandatory source	11	Mandatory-channel signal
Killed at Gate 6 — product/service exclusion	59	Current kickoff exclusions
Award outcomes mapped at intake	17	Answer keys recovered without driving selection
Sampling Pass 1 review count	2	Rejected outcome-conditioned sample
Sampling Pass 1 rejection count	98	88/100 DoD; amendment and outcome bias
