Intake ID,Notice ID,Solicitation Number,Search Status,NoticeDesc Status,Description Recovered,Attachment Count,Attachment Names,Gate 7 Archive Result,Archive JSON,Errors
HOS01-001,79118ceb18a5408a81cf4fd44e14a15a,19AQMM24Q0123,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-001_79118ceb18a5408a81cf4fd44e14a15a.json,
HOS01-002,131c93c526cf43efb667c66d50e861a0,N0010424QBQ00,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-002_131c93c526cf43efb667c66d50e861a0.json,
HOS01-003,4350e01ffb254489bb5cfe63930072ad,N0010424QBN87,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-003_4350e01ffb254489bb5cfe63930072ad.json,
HOS01-004,a75c683386474d2da11703cfc590a86f,N0042124Q0078,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-004_a75c683386474d2da11703cfc590a86f.json,
HOS01-005,7f7e91d84f5946dea06e9a7a9db8f650,SP330023Q0085,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-005_7f7e91d84f5946dea06e9a7a9db8f650.json,
HOS01-006,f391a126bd8c4f34941ab29df810e25b,SP330023R0006,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-006_f391a126bd8c4f34941ab29df810e25b.json,
HOS01-007,b00aaf0eb32a44ea93920120988ae299,SP330023R0008,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-007_b00aaf0eb32a44ea93920120988ae299.json,
HOS01-008,097abe5805994e07987dff1aa961e54b,1331L524R13OS0005,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-008_097abe5805994e07987dff1aa961e54b.json,
HOS01-009,5a51521f1de34510bc6134e584b78c71,140R2024Q0123,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-009_5a51521f1de34510bc6134e584b78c71.json,
HOS01-010,adf07ca9d80b46b7b5ee325774a3b335,W912P623Q0023,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-010_adf07ca9d80b46b7b5ee325774a3b335.json,
HOS01-011,17ea0c84c0cd4002a33dd45ce36487a1,W912P623Q0026,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-011_17ea0c84c0cd4002a33dd45ce36487a1.json,
HOS01-012,ea7713e9c23b4836b7b1dbe2f5b3a91c,Solicitation_SPE2D224R0005,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-012_ea7713e9c23b4836b7b1dbe2f5b3a91c.json,
HOS01-013,9a4e503e9a004b9d8d8ff5fa78d4121f,36C24124Q0860_2,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-013_9a4e503e9a004b9d8d8ff5fa78d4121f.json,
HOS01-014,0cc043f173784535ae5a4484460b5924,N66604-24-Q-0150,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-014_0cc043f173784535ae5a4484460b5924.json,
HOS01-015,394439d8db5c4db09f5bd18622639e27,N6247323R3203,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-015_394439d8db5c4db09f5bd18622639e27.json,
HOS01-016,7a73d8bcbffb4f3181658975cad9e6e7,47QTCB22R0007,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-016_7a73d8bcbffb4f3181658975cad9e6e7.json,
HOS01-017,7a48cfd540ea4a2688a12df184984611,QSE--36C78624Q50037,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-017_7a48cfd540ea4a2688a12df184984611.json,
HOS01-018,cde9ef995c814e5a8c7a7287e4922427,FA8212-23-R-0003,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-018_cde9ef995c814e5a8c7a7287e4922427.json,
HOS01-019,3483d81c750445f0837192da2ef985be,47QTCB22R0003,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-019_3483d81c750445f0837192da2ef985be.json,
HOS01-020,5c01af64d5ac474c95c03e3cd14383e4,N0038324QM368,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-020_5c01af64d5ac474c95c03e3cd14383e4.json,
HOS01-021,be31a30866a54287a6966e6e8028ef53,47QMCA23R0011,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-021_be31a30866a54287a6966e6e8028ef53.json,
HOS01-022,a0f5b79e1e9d481aaae324eea700df7e,N0010422QFF04,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-022_a0f5b79e1e9d481aaae324eea700df7e.json,
HOS01-023,cb7a438b8379476dbdcb24a80cd47e3f,N0010424QFD91,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-023_cb7a438b8379476dbdcb24a80cd47e3f.json,
HOS01-024,65fb0f3fbfd24794837e563041900070,N0010423QFB36,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-024_65fb0f3fbfd24794837e563041900070.json,
HOS01-025,ed7cc4c564df483fb14c753d4835c202,W912P623Q0016,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-025_ed7cc4c564df483fb14c753d4835c202.json,
HOS01-026,289b13d823584dc1a618efcb43b6b838,W912P623B0015,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-026_289b13d823584dc1a618efcb43b6b838.json,
HOS01-027,e1031d25b555410aa54a95d0e32b4637,47QMCA21R0013,200,404,No,0,,Review — partial archive evidence recovered,archive_enrichment/HOS01-027_e1031d25b555410aa54a95d0e32b4637.json,
HOS01-028,0bc5121477ab4b458272877609ea111e,W912P624B0017,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-028_0bc5121477ab4b458272877609ea111e.json,
HOS01-029,4b204071bf17431cb02d20843b67b3a7,W912P624B0016,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-029_4b204071bf17431cb02d20843b67b3a7.json,
HOS01-030,4ef5ad3d1eb049ad9d93fe98d6fa2022,W912P624Q0024,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-030_4ef5ad3d1eb049ad9d93fe98d6fa2022.json,
HOS01-031,3b3c3d91381b4a1cb204fd1819054bb0,W912P624Q0025,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-031_3b3c3d91381b4a1cb204fd1819054bb0.json,
HOS01-032,96a703a8ac8b4cfe84dfb65ba39b83cf,W912P624B0009,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-032_96a703a8ac8b4cfe84dfb65ba39b83cf.json,
HOS01-033,76f0f0970f234df2bdae4e94429a7011,N6134024R0013,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-033_76f0f0970f234df2bdae4e94429a7011.json,
HOS01-034,4f36e4d1aa1c4b3ebeb6ca5923cf4be7,W912P624B0008,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-034_4f36e4d1aa1c4b3ebeb6ca5923cf4be7.json,
HOS01-035,4cf9654f9ca64e679cec50c969055599,W912P624R0009,200,404,No,0,,Fail / replace — insufficient recoverable requirement evidence,archive_enrichment/HOS01-035_4cf9654f9ca64e679cec50c969055599.json,
