notice_id,title,solicitation_number,agency,subagency,contracting_office,posted_date,notice_type,base_type,archive_type,archive_date,set_aside,set_aside_code,response_deadline,naics,psc,active,description,additional_info,record_link,award_number,award_amount,awardee,award_date,city,state,zip,country,source_extract_row,posted_date_parsed,award_date_parsed,historical_source_url
3f85c99d1e734ca0b97e4ce32f257634,USS AMERICA (LHA-6) OEM Underwater Hull Preservation,N5523626R0002,DEPT OF DEFENSE,DEPT OF THE NAVY,SOUTHWEST REGIONAL MAINT CENTER,2025-12-31 14:10:51.5-05,Award Notice,Award Notice,autocustom,2026-12-31,,,,325510,8010,Yes,"On 31 December 2025, Southwest Regional Maintenance Center (SWRMC) awarded Contract N5523626C0002 to The Sherwin-Williams Company to provide required paint, coatings, preservation products, and engineering/technical services in support of underwater hull preservation efforts onboard the USS AMERICA (LHA 6).",,https://sam.gov/workspace/contract/opp/3f85c99d1e734ca0b97e4ce32f257634/view,N5523626C0002,230804.79,THE SHERWIN-WILLIAMS COMPANY 101 W PROSPECT AVE CLEVELAND OH 44115 USA,2025-12-31,,,92136,,52971,2025-12-31,2025-12-31,https://sam.gov/workspace/contract/opp/3f85c99d1e734ca0b97e4ce32f257634/view
a53a486156684fafb1fb930d44ac1825,DH10--IBM Mainframe as a Service - RFI ONLY,36C10B26Q0104,"VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF",TECHNOLOGY ACQUISITION CENTER NJ (36C10B),2025-12-31 10:08:56.435-05,Sources Sought,Sources Sought,autocustom,2026-03-10,,,2026-01-16T12:00:00-05:00,518210,DH10,Yes,"The purpose of this Request for Information - Amendment (0001) is as follows: To extend the response time to Monday, January 16th, 12:00PM ET We are currently working the answers to the questions received and will likely post another amendment on or after January 5th, 2026.",,https://sam.gov/workspace/contract/opp/a53a486156684fafb1fb930d44ac1825/view,,,null,,,,,,52982,2025-12-31,,https://sam.gov/workspace/contract/opp/a53a486156684fafb1fb930d44ac1825/view
4d41a494e1cb4f688b54f9061d7abf3c,Multiple Award Schedule,47QSMD20R0001,GENERAL SERVICES ADMINISTRATION,FEDERAL ACQUISITION SERVICE,GSA/FAS FURNITURE SYSTEMS MGT DIV,2025-12-31 06:10:12.61-05,Award Notice,Combined Synopsis/Solicitation,autocustom,2030-12-30,,,2025-12-31T11:12:13-05:00,541519,99,Yes,,,https://sam.gov/workspace/contract/opp/4d41a494e1cb4f688b54f9061d7abf3c/view,47QTCA26D002M,500000,4C SOLUTIONS INC Alpharetta GA 30022 USA,2025-12-31,,,,,52991,2025-12-31,2025-12-31,https://sam.gov/workspace/contract/opp/4d41a494e1cb4f688b54f9061d7abf3c/view
2613d9bc420e426ab89959c53f94894f,1377 - JM82(SMDC)857AS400-151 JM83(SMDC)857AS400-157 JM84(SMDC)857AS400-159 SS14(SMDC)857AS400-147 SS16(SMDC)857AS400-155 WB47(SMDC)857AS400-139 WB48(SMDC)857AS400-143,N0010425RK046,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,2025-12-30 16:42:34.085-05,Award Notice,Award Notice,autocustom,2026-11-25,,,,325920,1377,Yes,The Shielded Mild Detonating Cord (SMDC) assemblies are used in the H-1 emergency canopy removal system to provide an interconnecting explosive media to the window cutting assemblies (WCA) of the pilot�s and gunner�s canopy windows.,,https://sam.gov/workspace/contract/opp/2613d9bc420e426ab89959c53f94894f/view,N0010426CK006,584850,Pacific Scientific Energetic Materials Company (California LLC),2025-11-24,,,,,53002,2025-12-30,2025-11-24,https://sam.gov/workspace/contract/opp/2613d9bc420e426ab89959c53f94894f/view
89dde4aef4194294b488dd965d010149,"W91237-26-C-A002; Marmet Locks and Dam, Service Bridge Rehabilitation, Belle, West Virginia.",W9123726CA002,DEPT OF DEFENSE,DEPT OF THE ARMY,W072 ENDIST HUNTINGTON,2025-12-30 14:48:39.462-05,Award Notice,Award Notice,autocustom,2026-12-30,Total Small Business Set-Aside (FAR 19.5),SBA,,,,Yes,"Marmet Locks and Dam, Service Bridge Rehabilitation, Belle, West Virginia; Solicitation Number: W91237-26-R-A002",,https://sam.gov/workspace/contract/opp/89dde4aef4194294b488dd965d010149/view,W91237-26-C-A002,2985720,"Lorr Construction, Inc. 214 S ALFRED ST Alexandria VA 22314 USA",2025-12-30,,,25015,,53010,2025-12-30,2025-12-30,https://sam.gov/workspace/contract/opp/89dde4aef4194294b488dd965d010149/view
3a3f508ba33e4ee993ceaee9424289e1,Fiber Optic SCAT 4960,N6893625R0037,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER,2025-12-30 12:19:29.236-05,Award Notice,Award Notice,autocustom,2026-12-18,,,,334515,6625,Yes,"On 18 December 2025, the Naval Air Warfare Center, Weapons Division (NAWCWD), China Lake, CA awarded a Firm Fixed Price, Indefinite-Delivery, Indefinite-Quantity (FFP-IDIQ) contract for a total of $14,913,428, using other than full and open competition, FAR 6.302-1. Only one responsible source and no other supplies or services will satisfy agency requirements (See 10U.S.C 2304(c)(1)), KITCO Fiber Optics, 1151 Azalea Garden Road, Norfolk, Virginia 23502-5601. The ordering period is five years from the date of award and will include Fiber Optical Test Sets.",,https://sam.gov/workspace/contract/opp/3a3f508ba33e4ee993ceaee9424289e1/view,N6893626D0001,14913428.00,KITCO FIBER OPTICS INC Norfolk VA 23502 USA,2025-12-18,,,,,53025,2025-12-30,2025-12-18,https://sam.gov/workspace/contract/opp/3a3f508ba33e4ee993ceaee9424289e1/view
db3b709a7a8d4ff6a327286a9e75e6e3,Fiber Optic SCAT 4960,N6893625R0037,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER,2025-12-30 11:30:41.526-05,Justification,Award Notice,autocustom,2026-12-18,,,,334515,6625,Yes,"This J&A contains Controlled Unclassified Information and is therefore attached as a secure document. Contractors must be certified through Defense Logistics Information Services in order to access Controlled Unclassified Information (CUI) or Export Controlled Information. Access to CUI is limited, to a single point of contact (POC) per CAGE code, who is listed as the Data Custodian on the DD 2345 and approved by Defense Logistics Agency (DLA). The DD 2345 must be approved prior to requesting access to CUI in SAM.gov. Contractors are responsible for coordinating with their CAGE code�s Data Custodian POC to request access to CUI. For additional information, visit the DLA website for the Joint Certification Program: https://www.dla.mil/HQ/LogisticsOperations/Services/JCP/. As required by FAR 6.302-1 this J&A is hereby posted for the aforementioned contract award.",,https://sam.gov/workspace/contract/opp/db3b709a7a8d4ff6a327286a9e75e6e3/view,N6893626D0001,,,2025-12-18,,,,,53030,2025-12-30,2025-12-18,https://sam.gov/workspace/contract/opp/db3b709a7a8d4ff6a327286a9e75e6e3/view
531f9589e84d42f6aa3ca41062f74248,Fiber Optic SCAT 4960,N6893625R0037,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER,2025-12-30 11:24:20.06-05,Award Notice,Award Notice,autocustom,2026-12-18,,,,334515,6625,Yes,"On 18 December 2025, the Naval Air Warfare Center, Weapons Division (NAWCWD), China Lake, CA awarded a Firm Fixed Price, Indefinite-Delivery, Indefinite-Quantity (FFP-IDIQ) contract for a total of $14,913,428, using other than full and open competition, FAR 6.302-1. Only one responsible source and no other supplies or services will satisfy agency requirements (See 10U.S.C 2304(c)(1)), KITCO Fiber Optics, 1151 Azalea Garden Road, Norfolk, Virginia 23502-5601. The ordering period is five years from the date of award and will include Fiber Optical Test Sets.",,https://sam.gov/workspace/contract/opp/531f9589e84d42f6aa3ca41062f74248/view,N6893626D0001,14913428.00,KITCO FIBER OPTICS INC Norfolk VA 23502 USA,2025-12-12,,,,,53031,2025-12-30,2025-12-12,https://sam.gov/workspace/contract/opp/531f9589e84d42f6aa3ca41062f74248/view
a36709b55a324ce6ab166ea5dd0db7cc,Multiple Award Schedule,47QSMD20R0001,GENERAL SERVICES ADMINISTRATION,FEDERAL ACQUISITION SERVICE,GSA/FAS FURNITURE SYSTEMS MGT DIV,2025-12-29 13:21:07.562-05,Award Notice,Combined Synopsis/Solicitation,autocustom,2030-12-28,,,2025-12-29T11:12:13-05:00,325612,99,Yes,,,https://sam.gov/workspace/contract/opp/a36709b55a324ce6ab166ea5dd0db7cc/view,47QSMS26D001T,475000,5W AUTO CLEANING ACCESSORIES INC. MIRADA 90638-5228 USA,2025-12-29,,,,,53078,2025-12-29,2025-12-29,https://sam.gov/workspace/contract/opp/a36709b55a324ce6ab166ea5dd0db7cc/view
b33c91256aaf48c2995cad90d2acdfb9,Multiple Award Schedule,47QSMD20R0001,GENERAL SERVICES ADMINISTRATION,FEDERAL ACQUISITION SERVICE,GSA/FAS FURNITURE SYSTEMS MGT DIV,2025-12-29 11:24:27.946-05,Award Notice,Combined Synopsis/Solicitation,autocustom,2030-12-28,,,2025-12-29T11:12:13-05:00,332510,99,Yes,,,https://sam.gov/workspace/contract/opp/b33c91256aaf48c2995cad90d2acdfb9/view,47QSMS26D001S,10000000,Knight Safety & Industrial LLC Edmond OK 73013-7252 USA,2025-12-29,,,,,53086,2025-12-29,2025-12-29,https://sam.gov/workspace/contract/opp/b33c91256aaf48c2995cad90d2acdfb9/view
