Intake ID,Notice ID,Solicitation Number,Historical Source URL,Notice Type,Posted Date,Original Response Deadline,Agency,Subagency,Contracting Office,Title,Description,NAICS,PSC,Set-Aside Type,Estimated Value,Product or Service,Supply Track,Place of Performance,Delivery Destination,Attachments Available,Amendments Available,Q&A Available,Award Outcome Available,Award Notice URL,Awardee,Award Amount,Award Type,Parent Award ID,Open Competitive Path,Parent Vehicle Required,Could GGG Compete At Time,Mandatory-Source Status,AbilityOne Status,Product-Exclusion Result,Requirement Completeness,Payment-Method Evidence,Preliminary Supplier Exposure,Exposure Classification,Preliminary Probable Net,Preliminary Accessibility Score,Preliminary Kickoff Fit Score,Preliminary Baseball Call,Primary Failure Point,Intake Decision,Confidence,Notes,Source Extract Row
HOS01-001,79118ceb18a5408a81cf4fd44e14a15a,19AQMM24Q0123,https://sam.gov/workspace/contract/opp/79118ceb18a5408a81cf4fd44e14a15a/view,Solicitation,2024-07-22,2024-08-29,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,DOS-OVERSEAS SYSTEMS FURNITURE,"19AQMM24Q0123-US Department of State Please open and read all attachments. Questions due July 29, 2024. RFQ Submissions due August 19, 2024. Contracting Officer: Charlotte R. Cameron CameronCR@state.gov Charleston, SC Department of State Overseas Building Operations CONDENSED DESCRIPTION. READ ALL ATTACHMENTS INCLUDING SOW AND FULL SOLICITATION 19AQMM24Q0123 The Department of State, Bureau of Overseas Buildings Operations (OBO) has a requirement to provide systems furniture in diplomatic facilities worldwide. Department of State facilities are unique in their security requirements, infrastructure delivery and extended life cycle. 1.0 SCOPE The Contractor shall provide high quality, low maintenance systems furniture that can adapt, with minimal effort, as the facility evolves. Individual components and all assemblies shall break down for ease of inspection. Furniture shall have a modern appearance, with finish options at various grade levels. It shall include both panel based and freestanding furniture systems. Systems furniture shall utilize a spine wall for power and telecommunications distribution and include integrated lighting, storage, and technology support, as well as ergonomic and adjustable height features. All electrical and telecommunications components and infrastructure shall be integrated and flush with the spine wall and panels. CONTRACT The Department of State intends to award a Blanket Purchase Agreement (BPA) against a GSA schedule. The term of this contract will be one year with four one-year options to renew. MAXIMUM FOR BLANKET PURCHASE AGREEMENT This BPA is estimated but not guaranteed at $100M. Base + four (4) option years has a maximum ceiling of $100,000,000.00. WORKSTATIONS Must have the ability to provide both systems furniture, utilizing a fi",337214,7110,,Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,Office and facility consumables,USA,USA,Direct notice/resource lookup required,Yes — 2 notice version(s),Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Promising metadata; archive requirements review required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,75,Home Run,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): 79118ceb18a5408a81cf4fd44e14a15a; 5bb22d95a3724b21b702f1d9031a4548. Outcome did not control selection.,65913
HOS01-002,131c93c526cf43efb667c66d50e861a0,N0010424QBQ00,https://sam.gov/workspace/contract/opp/131c93c526cf43efb667c66d50e861a0/view,Solicitation,2024-04-02,2024-09-19,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,"REGULATOR,VOLTAGE","ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| INSPECTION AND ACCEPTANCE - SHORT VERSION|8|X||X|||||| STOP-WORK ORDER (AUG 1989)|1|| GENERAL INFORMATION-FOB-DESTINATION|1|B| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|INVOICE AND RECEIVING REPORT (COMBO)||TBD|N00104|TBD|TBD|SEE SCHEDULE|TBD|||N/A|||||| FEDERAL ACQUISITION SUPPLY CHAIN SECURITY ACT ORDERS-PROHIBITION (DEC 2023)|12||||||||||||| NOTICE OF TOTAL SMALL BUSINESS SET-ASIDE (OCT 2020)(DEVIATION 2020-O0008)|1|| ALTERNATE A, ANNUAL REPRESENTATIONS AND CERTIFICATIONS (NOV 2023)|13|||||||||||||| ANNUAL REPRESENTATIONS AND CERTIFICATIONS (FEB 2024)|13|335312|1250|||||||||||| NOTICE OF PRIORITY RATING FOR NATIONAL DEFENSE, EMERGENCY PERPARDENESS, AND ENRGY PROGAM USE (APRIL 2008))|2||X| QUANTITY INCREASED FROM 3 TO 7. NO OTHER CHANGES MADE. A MATERIAL IRPOD IS AVAILABLE AT THE BPMI WEBSITE. PLEASE SPECIFY (IF OTHER THAN 60 DAYS) ______________ DAYS.IF YOU ARE SUBMITTING YOUR QUOTE VIA EMAIL OR NECO,PLEASE SPECIFY THE NUMBER OF DAYS PRICING IS VALID. ALL CONTRACTUAL DOCUMENTS (I.E. CONTRACTS, PURCHASE ORDERS, TASK ORDERS,DELIVERY ORDERS AND MODIFICATIONS) RELATED TO THE INSTANT PROCUREMENT ARECONSIDERED TO BE 'ISSUED' BY THE GOVERNMENT WHEN COPIES ARE EITHER DEPOSITEDIN THE MAIL, TRANSMITTED BY FACSIMILE, OR SENT BY OTHER ELECTRONIC COMMERCEMETHODS, SUCH AS EMAIL. THE GOVERNMENT'S ACCEPTANCE OF THE CONTRACTOR'S PROPOSAL CONSTITUTES BILATERAL AGREEMENT TO 'ISSUE' CONTRACTUAL DOCUMENTS AS DETAILED HEREIN. \ 1. SCOPE 1.1 In the event of a conflict between section ""C"" and section ""D"" of the contract/purchase order, Section ""C"" will take precedence. 2. APPLICABLE DOCUMENTS 2.1 APPLICABLE DOCUMENTS; THERE ARE NO TECHNICAL DOCUMENTS; SU",335312,6110,,Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,MRO tools and commercial hardware,,Archive review required,Direct notice/resource lookup required,Yes — 3 notice version(s),Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Promising metadata; archive requirements review required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,75,Home Run,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 3 version(s): aab9de6985da492988404db2b6d69663; 131c93c526cf43efb667c66d50e861a0; e17f1841856e438dbd588b8571c61750. Outcome did not control selection.,65654
HOS01-003,4350e01ffb254489bb5cfe63930072ad,N0010424QBN87,https://sam.gov/workspace/contract/opp/4350e01ffb254489bb5cfe63930072ad/view,Solicitation,2024-03-19,2024-04-25,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT MECH,"VALVE,GATE","ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)|2||| INSPECTION AND ACCEPTANCE - SHORT VERSION|8|X||X|||||| STOP-WORK ORDER (AUG 1989)|1|| GENERAL INFORMATION-FOB-DESTINATION|1|B| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|INVOICE AND RECEIVING REPORTS (COMBO)|N/A|TBD|N00104|TBD|TBD|SEE SCHEDULE|TBD|N/A|N/A|N/A|||||| FEDERAL ACQUISITION SUPPLY CHAIN SECURITY ACT ORDERS-PROHIBITION (DEC 2023)|12||||||||||||| ALTERNATE A, ANNUAL REPRESENTATIONS AND CERTIFICATIONS (NOV 2023)|13|||||||||||||| SMALL BUSINESS PROGRAM REPRESENTATIONS (FEB 2024)|4|||X|| ANNUAL REPRESENTATIONS AND CERTIFICATIONS (FEB 2024)|13|332919|750|||||||||||| NOTICE OF PRIORITY RATING FOR NATIONAL DEFENSE, EMERGENCY PERPARDENESS, AND ENRGY PROGAM USE (APRIL 2008))|2||X| UNLESS OTHERWISE SPECIFIED, PRICING FOR THIS QUOTATION IS VALID FOR 60 DAYS AFTER THE CLOSING DATE AS INDICATED ON THE QUOTATION. PLEASE SPECIFY (IF OTHER THAN 60 DAYS) ______________ DAYS. IF YOU ARE SUBMITTING YOUR QUOTE VIA EMAIL OR NECO, PLEASE SPECIFY THE NUMBER OF DAYS PRICING IS VALID. ALL CONTRACTUAL DOCUMENTS (I.E. CONTRACTS, PURCHASE ORDERS, TASK ORDERS, DELIVERY ORDERS AND MODIFICATIONS) RELATED TO THE INSTANT PROCUREMENT ARE CONSIDERED TO BE 'ISSUED' BY THE GOVERNMENT WHEN COPIES ARE EITHER DEPOSITED IN THE MAIL, TRANSMITTED BY FACSIMILE, OR SENT BY OTHER ELECTRONIC COMMERCE METHODS, SUCH AS EMAIL. THE GOVERNMENT'S ACCEPTANCE OF THE CONTRACTOR'S PROPOSAL CONSTITUTES BILATERAL AGREEMENT TO 'ISSUE' CONTRACTUAL DOCUMENTS AS DETAILED HEREIN. 1. SCOPE 1.1 In the event of a conflict between section ""C"" and section ""D"" of the contract/purchase order, Section ""C"" will take precedence. 2. APPLICABLE DOCUMENTS 2.1 APPLICABLE DOCUMENTS; THERE ARE NO TECHNI",332919,4820,,Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,MRO tools and commercial hardware,,Archive review required,Direct notice/resource lookup required,No separate version identified in extract,Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Promising metadata; archive requirements review required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,75,Home Run,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 1 version(s): 4350e01ffb254489bb5cfe63930072ad. Outcome did not control selection.,66977
HOS01-004,a75c683386474d2da11703cfc590a86f,N0042124Q0078,https://sam.gov/workspace/contract/opp/a75c683386474d2da11703cfc590a86f/view,Combined Synopsis/Solicitation,2023-12-21,2024-01-02,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVAL AIR WARFARE CENTER AIR DIV,Red Box Tool Kit RFQ,"Solicitation N0042124Q0078 is issued as a combined synopsis/solicitation. The Government intends to purchase on a firm fixed-price basis and to solicit and negotiate the proposed purchase order on sole source basis with Atlanta Attachment Company, Inc., under the authority of FAR Part 12 and FAR Part 13. Offerors must be registered in the System for Award Management (https://www.sam.gov/sam/)database prior to submission of an offer to be considered for award of any DoD contract. Interested persons may identify their interest and capability to respond to the requirement or submit proposals. This notice of intent is not a request for competitive proposals. However, all proposals received by 5:00 (EST) on 2 January 2024 will be considered by the Government. A determination by the Government not to compete this proposed contract based upon the responses to this notice is solely within the discretion of the government. Information received will normally be considered for the purpose of determining whether to conduct a competitive procurement. The Government will not pay for any information received. Facsimile proposals are acceptable. For information contact: Cathleen Emmart, EMAIL: cathleen.m.emmart.civ@us.navy.mil Please provide the following information with your response. (1) FOB: ______________________ (2) Shipping Cost: ______________ (3) Tax ID# ____________________ (4) UEID# _____________________ (5) Cage Code: _________ You must be registered in System for Award Management (Sam.Gov) (6) Business Size: Small Business Yes or No (7) GSA or SEWP Contract # if applicable: ________________________ (8) Estimated delivery time after issuance of purchase order ____________________ (9) Published Price list. *YOU MUST SUBMIT SIGNED DOCUMENTATION FROM THE OEM VERIFYING YOU ARE ",333310,5180,,Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,MRO tools and commercial hardware,"Saint Inigoes, MD, 20684, USA","Saint Inigoes, MD, 20684, USA",Direct notice/resource lookup required,No separate version identified in extract,Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Partial metadata; archive retrieval required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,67,Triple,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 1 version(s): a75c683386474d2da11703cfc590a86f. Outcome did not control selection.,67639
HOS01-005,7f7e91d84f5946dea06e9a7a9db8f650,SP330023Q0085,https://sam.gov/workspace/contract/opp/7f7e91d84f5946dea06e9a7a9db8f650/view,Combined Synopsis/Solicitation,2023-03-29,2023-05-03,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISTRIBUTION,"Battery Chargers for DLA Distribution Norfolk, Virginia",3/29 - original combined synopsis / soliciation posted 4/13 - amendment 0001 uploaded to update the volts from 24 - 96 to 24 - 48.,33599,6130,Total Small Business Set-Aside (FAR 19.5),Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,MRO tools and commercial hardware,"VA, 23511, USA","VA, 23511, USA",Direct notice/resource lookup required,Yes — 2 notice version(s),Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Sparse metadata; high Gate 7 risk,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,60,Double,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 2 version(s): 1d2936097f514e858addd8f370bc514a; 7f7e91d84f5946dea06e9a7a9db8f650. Outcome did not control selection.,69338
HOS01-006,f391a126bd8c4f34941ab29df810e25b,SP330023R0006,https://sam.gov/workspace/contract/opp/f391a126bd8c4f34941ab29df810e25b/view,Combined Synopsis/Solicitation,2023-04-03,2023-06-14,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISTRIBUTION,Wooden Special Packaging Instructions (SPI) shipping containers for DLA Distribution,"4/3 - original solicitation was posted. 4/14 - amendment 0001 posted with drawings for CLINS 0034, 0040, 0041, 0042 and 0043 plus the first Q&A session (excel) attached. 5/9 - amendment 0002 posted with Q&A round 2. 5/12 - amendment 0003 posted extending deadline to 5/30/2023. 5/30 - amendment 0004 posted extending deadline to 6/7/2023. 6/6 - amendment 0005 posted extending deadline to 6/14/2023.",321920,8145,Total Small Business Set-Aside (FAR 19.5),Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,"Packaging, shipping, storage and containers","GA, 31098, USA","GA, 31098, USA",Direct notice/resource lookup required,Yes — 6 notice version(s),Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Partial metadata; archive retrieval required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,67,Triple,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 6 version(s): d43e96e8121d49238f3726f4c74ad133; f52d7ec8535e4833aff9e0cd6d1974d0; f3ba5002b5444659a0f1f3fd966af796; 1b3363010d8b43b78fbd540aa34e5d82; 88b97b47f109428c83c03da5e8ef5a65; f391a126bd8c4f34941ab29df810e25b. Outcome did not control selection.,68997
HOS01-007,b00aaf0eb32a44ea93920120988ae299,SP330023R0008,https://sam.gov/workspace/contract/opp/b00aaf0eb32a44ea93920120988ae299/view,Combined Synopsis/Solicitation,2023-07-18,2023-10-16,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISTRIBUTION,"FIBERBOARD (FB) SPECIAL PACKAGING INSTRUCTION (SPI) SHIPPING CONTAINERS FOR DEFENSE LOGISTICS AGENCY DISTRIBUTION WARNER ROBINS, GA (DDWG)",See attached documents. Amendment 0005 - posted 10/4/2023 Amendment 0004 - posted 9/19/2023 Amendment 0003 - posted 9/5/2023 Amendment 0002 - posted 8/28/2023 Amendment 0001 - posted 8/11/2023 Original solicitation - posted 7/18/2023,321920,8145,Total Small Business Set-Aside (FAR 19.5),Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,"Packaging, shipping, storage and containers","Warner Robins, GA, USA","Warner Robins, GA, USA",Direct notice/resource lookup required,Yes — 7 notice version(s),Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Sparse metadata; high Gate 7 risk,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,60,Double,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 7 version(s): e2aecc8be22145e999b5fe793dab0333; 09822a314bef45918ec1c4f7e52b85a1; c907dbdcabee45ee80925b4cef139b7a; bd293e0e68524abfb5ebbb50adffdc58; 16ff0a323d79486b9e92985a3c07ccb9; fa174bd667c84215adf67266cba5cd1e; b00aaf0eb32a44ea93920120988ae299. Outcome did not control selection.,68152
HOS01-008,097abe5805994e07987dff1aa961e54b,1331L524R13OS0005,https://sam.gov/workspace/contract/opp/097abe5805994e07987dff1aa961e54b/view,Combined Synopsis/Solicitation,2024-02-01,2024-12-31,"COMMERCE, DEPARTMENT OF",OFFICE OF THE SECRETARY,DEPT OF COMMERCE SSPO,Commercial Data Hub Pilot Program,"*Responses to Questions.v1 - 1331L524R13OS0005 document posted on 05/05/2024. This is an open and continuous procurement to obtain commercially available data on behalf of the Department of Commerce (DOC) through a Commercial Data Hub Pilot Program. The solicitation and any resulting contract is issued utilizing Part 13 Simplified Acquisition Procedures as supplemented in Subpart 13.5, Simplified Procedures for Certain Commercial Products and Commercial Services. In accordance with FAR 52.219-31, Notice of Small Business Reserve, this solicitation contains a reserve for one or more small business concerns identified at 19.000(a)(3). DOC anticipates that up to 10% of the cumulative dollar value of awards to be made under this solicitation will be made to small business concerns. Please reference the attached documents for the full contents of the solicitation.",519290,7H20,,Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,Basic IT accessories and standard equipment,"Washington, DC, 20230, USA","Washington, DC, 20230, USA",Direct notice/resource lookup required,Yes — 4 notice version(s),Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Partial metadata; archive retrieval required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,67,Triple,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 4 version(s): f489dc9e7c094780940fa700a5ceb020; b72c0c3d2d2d4001869d953b35e6a7b2; eab19686eb1c44edbc9d7d5ebdb58e49; 097abe5805994e07987dff1aa961e54b. Outcome did not control selection.,66586
HOS01-009,5a51521f1de34510bc6134e584b78c71,140R2024Q0123,https://sam.gov/workspace/contract/opp/5a51521f1de34510bc6134e584b78c71/view,Solicitation,2024-09-05,2024-09-12,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,MP-REGIONAL OFFICE,Hydromet Data Loggers,"The Bureau of Reclamation intends to negotiate on a sole source basis with OTT Hydromet Corp to provide Hydromet Data Loggers for the Bureau of Reclamation. These Data Loggers support the California Great Basin (CGB) region and Central California Area Office (CCAO) for costs including under the authority of FAR Part 13.106-1(b)(1). A sole source justification has been prepared in support of this acquisition. Firms believing, they can provide this requirement must provide written notification to the Contracting Officer with supporting evidence to that effect and in sufficient detail to demonstrate the respondent's ability to meet the stated requirements. This notice is not a request for competitive proposals. All responses received within 7 calendar days of the date of publication of this notice will be considered by the Government. A determination by the Government not to compete this proposed action based on responses to this notice is solely within the discretion of the Government. Information received will be considered solely for the purpose of determining whether to conduct a competitive procurement. Responses should include the firm's Unique Entity Identifier (UEI) and Tax Identification Number (TIN). Firms should identify business size (i.e. small business, other than small business, etc.) in accordance with the size standard for NAICS Code 334511 which is $1,300 Employees. The estimated award date is August 28, 2024. Responses and questions concerning this solicitation should be directed to Sarah Anaya at sanaya@usbr.gov.",334511,7G22,,Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,Basic IT accessories and standard equipment,"Folsom, CA, USA","Folsom, CA, USA",Direct notice/resource lookup required,No separate version identified in extract,Unknown — archive retrieval required,Not yet recovered,,,,,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Partial metadata; archive retrieval required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,67,Triple,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 1 version(s): 5a51521f1de34510bc6134e584b78c71. Outcome did not control selection.,65536
HOS01-010,adf07ca9d80b46b7b5ee325774a3b335,W912P623Q0023,https://sam.gov/workspace/contract/opp/adf07ca9d80b46b7b5ee325774a3b335/view,Combined Synopsis/Solicitation,2023-08-30,2023-09-08,DEPT OF DEFENSE,DEPT OF THE ARMY,W072 ENDIST CHICAGO,"J. EDWARD ROUSH LAKE SECURITY UPDATES, HUNTINGTON, HUNTINGTON COUNTY, INDIANA","This is a Combined Synopsis/Solicitation Notice for commercial products and commercial services issued pursuant to FAR Part 12. Under this notice, the U.S. Army Corps of Engineers, Chicago District (USACE) is issuing a Request for Quotations (RFQ) for: J. EDWARD ROUSH LAKE SECURITY UPDATES. GOVERNMENT REQUIREMENT: This acquisition is pursuant to the provisions set forth by Part 12 of the Federal Acquisition Regulation, �Commercial Products and Commercial Services.� In this acquisition, the contractor shall provide supply and install security updates to U.S. Army Corps of Engineers � J. Edward Roush Lake Office in accordance with the enclosed performance work statement. Pricing shall include parts, materials, deliveries, and any incidentals to perform the entire work described in the performance work statement. Competition for this acquisition is RESTRICTED TO SMALL BUSINESSES. AN OFFEROR MUST HAVE AN ACTIVE REGISTRATION IN THE SYSTEM FOR AWARD MANAGEMENT WHEN PLACING AN OFFER/QUOTATION PACKAGE FOR THIS ACQUISITION. REGISTRATION CAN BE COMPLETED FREE OF CHARGE AT www.sam.gov. The applicable Size Standard is North American Industry Classification System (NAICS) Code 561621 with a Small Business size standard of $25.0M. SUBMITTAL DUE DATE AND TIME: The Contractor submittal packages must be received by the USACE-Chicago District Office no later than 3:30 p.m. (Central Time) on September 8, 2023. Please reference the subject solicitation number on all correspondence. IMPORTANT NOTE: IN THE CASE OF A DISCREPANCY BETWEEN THE DATES PUBLISHED IN THIS NOTICE AND THOSE CALLED OUT IN THE ATTACHED RFQ DOCUMENT, THE DATES IN THE RFQ DOCUMENT OVERRIDES THOSE PUBLISHED HEREIN THIS NOTICE; THIS IS RELATIVE TO THE RFQ ISSUANCE DATE AND THE DUE DATE FOR SUBMITTAL PACKAGES. This solicitati",561621,6350,Total Small Business Set-Aside (FAR 19.5),Unknown pre-award; historical award retained only as answer key when mapped,Commercial product candidate,Mixed controls,"Huntington, IN, USA","Huntington, IN, USA",Direct notice/resource lookup required,No separate version identified in extract,Unknown — archive retrieval required,Mapped from award index,https://sam.gov/workspace/contract/opp/a75f00950bac4149a2b2c20ba997cc73/view,Sterileco LLC Indianapolis IN USA,76690.00,Award Notice,No parent vehicle indicated at solicitation intake; verify clauses,Potentially yes — original solicitation open to new offers,No evidence in metadata; verify solicitation,Potentially yes — subject to historical SAM registration and representations,No conflict detected in metadata; exact product review required,Exact product/NSN review required,Pass / no automatic exclusion detected,Promising metadata; archive requirements review required,Unknown — never infer from award amount,Not modeled before archive and supplier-pricing gates,Unclassified pending requirements and sourcing,Not modeled before supplier pricing,90,45,Single,Passes Gates 1-6 preliminarily; Gate 7 archive review pending,REVIEW — archive reconstruction,Moderate — official extract metadata; direct archive review pending,Sample period: Primary 2023-2024. Strict PSC-family lane classification. Solicitation family has 1 version(s): adf07ca9d80b46b7b5ee325774a3b335. Outcome did not control selection.,68390
