Intake ID,Notice ID,Solicitation Number,Historical Source URL,Notice Type,Posted Date,Original Response Deadline,Agency,Subagency,Contracting Office,Title,Description,NAICS,PSC,Set-Aside Type,Estimated Value,Product or Service,Supply Track,Place of Performance,Delivery Destination,Attachments Available,Amendments Available,Q&A Available,Award Outcome Available,Award Notice URL,Awardee,Award Amount,Award Type,Parent Award ID,Open Competitive Path,Parent Vehicle Required,Could GGG Compete At Time,Mandatory-Source Status,AbilityOne Status,Product-Exclusion Result,Requirement Completeness,Payment-Method Evidence,Preliminary Supplier Exposure,Exposure Classification,Preliminary Probable Net,Preliminary Accessibility Score,Preliminary Kickoff Fit Score,Preliminary Baseball Call,Primary Failure Point,Intake Decision,Confidence,Notes,Source Extract Row
HOS01-001,23e6b2acff32487591fbd6f8ec6b24bc,36C77022R0008,https://sam.gov/workspace/contract/opp/23e6b2acff32487591fbd6f8ec6b24bc/view,Solicitation,2023-01-11,2023-01-20,"VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF",NATIONAL CMOP OFFICE (36C770),Q517--Staffing Service Tucson,Amendment 0002,561210,Q517,,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/23e6b2acff32487591fbd6f8ec6b24bc/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,Potentially yes — subject to active SAM registration and representations,Review required,Review exact product/NSN; no conflict detected,Pass / no automatic exclusion detected,Incomplete from extract,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,85,50,Strikeout,Gate 7 — requirement completeness,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",70164
HOS01-002,03c26317ad4348df88d8a2685c8bc753,36C77022R0008,https://sam.gov/workspace/contract/opp/03c26317ad4348df88d8a2685c8bc753/view,Solicitation,2023-01-17,2023-01-20,"VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF",NATIONAL CMOP OFFICE (36C770),Q517--Staffing Service Tucson,Amendment 0003,561210,Q517,,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/03c26317ad4348df88d8a2685c8bc753/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,Potentially yes — subject to active SAM registration and representations,Review required,Review exact product/NSN; no conflict detected,Pass / no automatic exclusion detected,Incomplete from extract,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,85,50,Strikeout,Gate 7 — requirement completeness,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",70132
HOS01-003,ebc46d1bb59b4126b124324c040ada51,36C77022R0008,https://sam.gov/workspace/contract/opp/ebc46d1bb59b4126b124324c040ada51/view,Solicitation,2023-01-26,2023-02-03,"VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF",NATIONAL CMOP OFFICE (36C770),Q517--Staffing Service Tucson,Amendment 0004,561210,Q517,,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/ebc46d1bb59b4126b124324c040ada51/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,Potentially yes — subject to active SAM registration and representations,Review required,Review exact product/NSN; no conflict detected,Pass / no automatic exclusion detected,Incomplete from extract,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,85,50,Strikeout,Gate 7 — requirement completeness,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",70066
HOS01-004,394439d8db5c4db09f5bd18622639e27,N6247323R3203,https://sam.gov/workspace/contract/opp/394439d8db5c4db09f5bd18622639e27/view,Solicitation,2023-02-27,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/394439d8db5c4db09f5bd18622639e27/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69782
HOS01-005,72f4914087b64afe99949059602d7f48,N6247323R3203,https://sam.gov/workspace/contract/opp/72f4914087b64afe99949059602d7f48/view,Solicitation,2023-03-07,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","Amendment 001: Provision of Site Walk Attendance Sheet CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/72f4914087b64afe99949059602d7f48/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69691
HOS01-006,a1eec76a4e014fe8b55c5defde628d7b,N6247323R3203,https://sam.gov/workspace/contract/opp/a1eec76a4e014fe8b55c5defde628d7b/view,Solicitation,2023-03-14,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","Amendment 002: Extension of RFI due date and incorporation of updated Wage Determination. Amendment 001: Provision of Site Walk Attendance Sheet CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/a1eec76a4e014fe8b55c5defde628d7b/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69594
HOS01-007,f2b87a65f1274fd494ca2ef09cf3db00,N6247323R3203,https://sam.gov/workspace/contract/opp/f2b87a65f1274fd494ca2ef09cf3db00/view,Solicitation,2023-03-17,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","Amendment 0003: Incorporate Government responses to Requests for Information (RFIs), and extend RFI due date. Amendment 002: Extension of RFI due date and incorporation of updated Wage Determination. Amendment 001: Provision of Site Walk Attendance Sheet CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/f2b87a65f1274fd494ca2ef09cf3db00/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69548
HOS01-008,8323d82426834458801f13629d02eaa4,N6247323R3203,https://sam.gov/workspace/contract/opp/8323d82426834458801f13629d02eaa4/view,Solicitation,2023-03-20,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","Amendment 0003: Incorporate Government responses to Requests for Information (RFIs), and extend RFI due date. Amendment 002: Extension of RFI due date and incorporation of updated Wage Determination. Amendment 001: Provision of Site Walk Attendance Sheet CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/8323d82426834458801f13629d02eaa4/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69519
HOS01-009,a3e047ac2d0c4b4cb48e361347fb7969,N6247323R3203,https://sam.gov/workspace/contract/opp/a3e047ac2d0c4b4cb48e361347fb7969/view,Solicitation,2023-03-21,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","Amendment 0005: Incorporate FAR 52.217-4, an updated Wage Determination, and PIEE Solicitation Module Vendor Access Instructions into the solicitation. Amendment 0004: Incorporate Government responses to Requests for Information (RFIs). Amendment 0003: Incorporate Government responses to Requests for Information (RFIs), and extend RFI due date. Amendment 002: Extension of RFI due date and incorporation of updated Wage Determination. Amendment 001: Provision of Site Walk Attendance Sheet CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional Item Two (2) - Provide and install new distribution switchboards, including circuit breakers.",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/a3e047ac2d0c4b4cb48e361347fb7969/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69508
HOS01-010,8e1952a01d674ad9a0a10fb84ce4c893,N6247323R3203,https://sam.gov/workspace/contract/opp/8e1952a01d674ad9a0a10fb84ce4c893/view,Solicitation,2023-03-22,2023-03-29,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM SOUTHWEST,"B234 Electrical Upgrades ? High Voltage Switch and Transformers at Naval Support Activity Monterey (NSAM), Monterey, CA","Amendment 0006: Incorporate commissioning requirement(s), revised RFP Sections in Parts 2, 3, and 5; extend Requests for Information (RFI) due date and incorporate Government responses to RFIs. Amendment 0005: Incorporate FAR 52.217-4, an updated Wage Determination, and PIEE Solicitation Module Vendor Access Instructions into the solicitation. Amendment 0004: Incorporate Government responses to Requests for Information (RFIs). Amendment 0003: Incorporate Government responses to Requests for Information (RFIs), and extend RFI due date. Amendment 002: Extension of RFI due date and incorporation of updated Wage Determination. Amendment 001: Provision of Site Walk Attendance Sheet CLIN 0001 (FFP): This is a Firm Fixed-Price (FFP) Design-Build (DB) construction project involving partial demolition and replacement of three (3) unit substations (T6, T7, and T9), medium voltage conductors, and low voltage associated components between the transformers and switchboards in Building 234 at Naval Support Activity Monterey (NSAM) ? Halligan Hall. CLIN 0002 (FFP): Optional Item One (1) - Install a spare 5-inch conduit from Manhole 8 to the new Building 234 substation. CLIN 0003 (FFP): Optional I",237130,Z2CZ,Women-Owned Small Business,Unknown pre-award; historical award is answer key,Service / mixed,Mixed control,,Not recovered from extract,Unknown / direct record review required,Unknown — version history retrieval required,Unknown — archive retrieval required,Yes — embedded in official extract,https://sam.gov/workspace/contract/opp/8e1952a01d674ad9a0a10fb84ce4c893/view,null,,Not provided in extract outcome fields,Not indicated at solicitation intake,Potentially yes — direct solicitation notice,No evidence in extract; verify solicitation,No — socioeconomic set-aside not held by GGG,Review required,Review exact product/NSN; no conflict detected,Construction / installation / repair / field service,Partial — attachments or detail retrieval required,Unknown — never infer from award amount,Not modeled before archive/requirements gate,Unclassified pending sourcing,Not modeled before supplier pricing,45,0,Strikeout,Gate 4 — GGG eligibility,NO-BID / REJECT AT INTAKE,Moderate — official extract metadata; attachments not yet reconstructed,"Extract Active flag inconsistent with 2023-2024 closed deadline; verify notice version/archive directly. No separate additional-information link in extract. Award outcome is answer key, not pre-award pricing evidence.",69495
